отдел Polypodiophyta;класс Polypodiopsida;1;Onocleaceae; ; ; ; ; ; ; ; ; ; ; ; ;
;;;;;Dryopteris fragrans (L.) Schott;Шитовник пахучий;Aspidium fragrans Sw.| Dryopteris fragrans var. remotiuscula (Kom.) Fomin Filix fragrans Farwell| Lastrea fragrans Presl.| Nephrodium fragrans var. remotiusculum Kom.| Polypodium fragrans L.| Polystichum fragrans Ledeb.| Thelypteris fragrans Nieuwl.| Woodsia xanthosporangia Ching;22.06.2005;Бурятия;Тарбагатайский;местность Тугнуйские столбы (Шара Тэбсэг);На останцах;Иметхенова О.В.| Чимитов Д.Г.;Иметхенова О.В.| Чимитов Д.Г.;;
;;;;;Dryopteris fragrans (L.) Schott;Шитовник пахучий;Aspidium fragrans Sw.| Dryopteris fragrans var. remotiuscula (Kom.) Fomin Filix fragrans Farwell| Lastrea fragrans Presl.| Nephrodium fragrans var. remotiusculum Kom.| Polypodium fragrans L.| Polystichum fragrans Ledeb.| Thelypteris fragrans Nieuwl.| Woodsia xanthosporangia Ching;05.07.2007;Бурятия; Курумканский;окр. села  Курумкан| в 3 км к востоку. Отроги хр. Баргузинский;Каменистый склон;Иметхенова О.В.| Чимитов Д.Г.;Иметхенова О.В.| Чимитов Д.Г.;;
;;1;Thelipteridaceae;;;;;;;;;;;;; 
;;1;Aspleniaceae;Camptosorus;Camptosorus sibiricus Rupr.;Кривокучник сибирский;Asplenium ruprechtii Sa. Kurata;23.06.2005;Бурятия;Тарбагатайский;местность Тугнуйские столбы (Шара Тэбсэг);В трещинах сиенитового останца к юго-западу от абрикосников;Иметхенова О.В.| Чимитов Д.Г.;Иметхенова О.В.| Чимитов Д.Г.;;
;;;;Asplenium;Asplenium ruta-muraria L.;Костенец постенный;;25.07.1965;Бурятия;Прибайкальский;с. Кома;Скала;Степаненко| Шубанова| Ринчинова;Рещиков М.А.;;
;;1;Cryptogrammaceae;;;;;;;;;;;;;
;;1;Sinopteridaceae;Cheilanthes;Cheilanthes argentea (S.G.Gmel.) G. Kunze;Краекучник серебристый;Aleuritopteris argentea (Balb.) Tod ;23.06.2005;Бурятия;Тарбагатайский; местность Тугнуйские столбы (Шара-Тэбсэг);Расщелины скал;Иметхенова О.В.| Чимитов Д.Г.;Иметхенова О.В.| Чимитов Д.Г.;;
;;1;Sinopteridaceae ;;Cheilanthes argentea (S.G.Gmelin) G. Kunze;Краекучник серебристый;Aleuretopteris (S.G. Gmelin) Fee;13.07.2009;Бурятия ;Окинский;местность Саилаг;каменистый склон;Лыгденова А.;Холбоева С.А.;;
;;;;;Cheilanthes argentea (S.G.Gmel.) G. Kunze;Краекучник серебристый;Aleuritopteris argentea (Balb.) Tod ;29.06.2005;Бурятия;Тарбагатайский;местность Жарчиха| 500м. к востоку от геологического лагеря;В расщелинах скал;Иметхенова О.В.;Чимитов Д.Г.;;
;;;;;Cheilanthes argentea (S.G.Gmel.) G. Kunze;Краекучник серебристый;Aleuritopteris argentea (Balb.) Tod ;19.06.2005;Бурятия;Тарбагатайский; местность Жарчиха| 500м. к востоку от геологического лагеря;В расщелинах скал;Иметхенова О.В.| Чимитов Д.Г.;Иметхенова О.В.| Чимитов Д.Г.;;
;;1;Hylolepidaceae;;;;;;;;;;;;;
;;1;Polypodiaceae;Polypodium;Polypodium vulgare L.;Многоножка обыкновенная;Polypodium sibiricum Siplivinsky;16.07.1964;Бурятия;Прибайкальский;56 км. Тракта Улан-Удэ - Кабанск;В расщелинах скал;Дамбаев;Рещиков М.А.;;
;;;;;Polypodium vulgare L.;Многоножка обыкновенная;Polypodium sibiricum Siplivinsky;23.06.2005;Бурятия;Тарбагатайский;местность Тугнуйские столбы (Шара Тэбсэг);На останцах;Иметхенова О.В.| Чимитов Д.Г.;Иметхенова О.В.| Чимитов Д.Г.;;
отдел Lycopodiophyta;класс  Lycopodiopsida;1;Lycopodiaceae;Diphasiastrum ;Diphasiastrum alpinum (L.) Holub;Двурядник альпийский;Diphasium alpinum (L.) Rothm.| Lycopodium alpinum L.;26.05.1963;Бурятия;Прибайкальский;С.Турунтаево;Темнохвойный лес;Нечаева;Цыбикова;;
;;;;;Diphasiastrum alpinum (L.) Holub;Двурядник альпийский;Diphasium alpinum (L.) Rothm.| Lycopodium alpinum L.;13.07.1963;Бурятия;Прибайкальский;С. Турунтаево;Хвойный лес;Башаева;Куваев В.;;
;;;;;Diphasiastrum complanatum (L.) Holub;Двурядник сплюснутый;Diphasium anceps (Wallr.) A. Love & D. Love| Diphasium complanatum (L.) Rothm.| Diphasium complanatum ssp. anceps (Wallr.) Dostal| Diphasium wallrothii H.P. Fuchs| Lycopodium anceps Wallr.| Lycopodium complanatum L.| Lycopodium complanatum ssp. anceps (Wallr.) Asch. & Graebn.;01.09.2005;Бурятия;Заиграевский;Северный макросклон хр. Цаган-Дабан| местн. Хара-Байса;Смешанный лес;Иметхенова О.В.| Чимитов Д.Г.;Иметхенова О.В.| Чимитов Д.Г.;;
;;;;Lycopodium;Lycopodium annotinum L.;Плаун годичный;Spinulum annotinum (L.) A. Haines;01.09.2005;Бурятия;Заиграевский ;Северный макросклон хр. Цаган-Дабан| местн. Хара-Байса;Смешанный лес;Иметхенова О.В.| Чимитов Д.Г.;Иметхенова О.В.| Чимитов Д.Г.;;
;;;;;Lycopodium annotinum L.;Плаун годичный;Spinulum annotinum (L.) A. Haines;01.09.2005;Бурятия;Заиграевский ;Северный макросклон хр. Цаган-Дабан| местн. Хара-Байса;Смешанный лес;Иметхенова О.В.| Чимитов Д.Г.;Иметхенова О.В.| Чимитов Д.Г.;;
;;;;;Lycopodium annotinum L.;Плаун годичный;Spinulum annotinum (L.) A. Haines;10.06.1963;Бурятия;Прибайкальский;Перевал Турунтаево;Темнохвойный лес;Пурбуева| Далаева| Раднаева;Куваев В.;;
;;;;;Lycopodium annotinum L.;Плаун годичный;Spinulum annotinum (L.) A. Haines;05.07.1968;Бурятия;Прибайкальский;Баргузинский тракт| 24 км.;Темнохвойный лес;Эйдельман;Эйдельман;;
;;;;;Lycopodium annotinum L.;Плаун годичный;Spinulum annotinum (L.) A. Haines;10.06.1963;Бурятия;Прибайкальский;С. Турунтаево| перевал;Темнохвойный лес;Раднаева| Пурбуева;Куваев В.;;
;;;;;Lycopodium annotinum L.;Плаун годичный;Spinulum annotinum (L.) A. Haines;10.06.1963;Бурятия;Прибайкальский;С. Турунтаево| перевал;Темнохвойный лес;Раднаева| Пурбуева;Куваев В.;;
;;;;;Lycopodium annotinum L.;Плаун годичный;Spinulum annotinum (L.) A. Haines;10.06.1963;Бурятия;Прибайкальский;С. Турунтаево| перевал;Темнохвойный лес;Раднаева| Пурбуева;Куваев В.;;
;;;;;Lycopodium annotinum L.;Плаун годичный;Spinulum annotinum (L.) A. Haines;10.06.1963;Бурятия;Прибайкальский;С. Турунтаево| перевал;Темнохвойный лес;Раднаева| Пурбуева;Куваев В.;;
